                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4269,                 5.9357,                 1.9394,                0.35436,                0.27813,                0.21852,                 0.0676,                 2.4047,                 3.0692,                 1.4804,             0.00016204,             0.00016204,             0.00016204
                      2,                 1.9818,                 2.4253,                 1.1962,                0.12469,                0.20592,                0.04595,                0.02142,                 1.8519,                    inf,                 1.2127,             0.00032057,             0.00032057,             0.00032057
                      3,                 1.8349,                 2.1252,                 1.1339,                0.20289,                0.58093,                0.26341,                0.11436,                 1.7959,                 2.4508,                 1.1881,             0.00047085,             0.00047085,             0.00047085
                      4,                  1.805,                 1.7942,                 1.1095,                0.35532,                0.70394,                0.45477,                0.20406,                 1.7034,                 1.8962,                 1.1376,             0.00046288,             0.00046288,             0.00046288
                      5,                 1.7591,                 1.7316,                  1.104,                0.29128,                0.73046,                0.48344,                0.20027,                 1.7546,                 1.7589,                 1.1659,             0.00046288,             0.00046288,             0.00046288
                      6,                 1.7096,                 1.6095,                 1.0979,                0.38602,                0.63043,                0.45938,                0.18831,                 1.7868,                 1.7927,                 1.1704,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.6603,                 1.4753,                 1.0694,                0.54363,                0.66082,                0.66443,                0.26952,                 1.8166,                 1.4384,                 1.1624,             0.00043812,             0.00043812,             0.00043812
                      8,                 1.6231,                 1.4017,                  1.053,                0.44814,                0.68906,                0.55851,                0.23133,                 1.8051,                 1.5047,                 1.1904,             0.00042575,             0.00042575,             0.00042575
                      9,                 1.6049,                 1.3121,                   1.05,                0.52685,                0.69884,                0.63925,                0.29491,                 1.6614,                 1.4849,                 1.1085,             0.00041338,             0.00041338,             0.00041338
                     10,                 1.5931,                 1.2852,                 1.0466,                0.59831,                0.69519,                0.66673,                0.29499,                 1.7441,                 1.4768,                 1.1487,               0.000401,               0.000401,               0.000401
                     11,                 1.5575,                 1.1981,                 1.0276,                0.64919,                0.66293,                0.72318,                0.35024,                 1.6887,                 1.3217,                 1.1262,             0.00038863,             0.00038863,             0.00038863
                     12,                 1.5581,                  1.162,                 1.0262,                0.74154,                0.67529,                0.76396,                0.33593,                 1.7025,                 1.3132,                 1.1349,             0.00037625,             0.00037625,             0.00037625
                     13,                 1.5352,                 1.0899,                 1.0165,                0.68688,                0.63604,                0.66778,                0.30372,                 1.7424,                 1.2815,                 1.1462,             0.00036387,             0.00036387,             0.00036387
                     14,                  1.532,                 1.0963,                 1.0221,                0.53938,                0.66371,                0.57826,                0.25414,                 1.7871,                 1.4167,                 1.1521,              0.0003515,              0.0003515,              0.0003515
                     15,                 1.5075,                 1.0721,                 1.0118,                0.70302,                0.71341,                0.76558,                0.35206,                 1.6976,                 1.2016,                  1.125,             0.00033913,             0.00033913,             0.00033913
                     16,                 1.4792,                 1.0744,                 1.0113,                0.76464,                0.73743,                0.78989,                0.35216,                 1.7086,                 1.1899,                 1.1304,             0.00032675,             0.00032675,             0.00032675
                     17,                 1.4596,                0.99888,                0.99863,                 0.7641,                0.75091,                0.76978,                0.35536,                 1.7244,                 1.2078,                 1.1362,             0.00031438,             0.00031438,             0.00031438
                     18,                 1.4274,                0.95427,                0.98776,                0.79827,                  0.762,                0.78976,                0.34194,                 1.7489,                 1.1527,                 1.1474,               0.000302,               0.000302,               0.000302
                     19,                 1.4036,                0.91755,                0.98767,                0.79108,                0.86098,                0.83839,                0.38324,                 1.7098,                 1.0629,                  1.123,             0.00028962,             0.00028962,             0.00028962
                     20,                 1.3618,                0.88388,                0.97816,                 0.7413,                0.78244,                0.78952,                0.37378,                 1.7681,                 1.0749,                 1.1502,             0.00027725,             0.00027725,             0.00027725
                     21,                 1.3545,                0.83698,                0.97272,                0.77023,                0.78074,                0.79945,                 0.3405,                 1.8591,                 1.0612,                 1.1953,             0.00026488,             0.00026488,             0.00026488
                     22,                 1.3267,                0.83903,                0.97059,                0.83203,                0.81097,                0.85435,                0.37076,                  1.822,                 1.1366,                 1.1656,              0.0002525,              0.0002525,              0.0002525
                     23,                 1.3242,                 0.7904,                0.95198,                0.79744,                0.79782,                0.82549,                0.35917,                 1.8033,                  1.014,                 1.1723,             0.00024013,             0.00024013,             0.00024013
                     24,                 1.3123,                 0.7621,                0.95838,                0.79474,                0.84366,                 0.8555,                0.36733,                 1.8893,                 1.0168,                 1.2004,             0.00022775,             0.00022775,             0.00022775
                     25,                 1.2749,                0.73384,                0.95233,                0.84795,                 0.8383,                0.86188,                 0.3992,                 1.8096,                0.92251,                 1.1704,             0.00021538,             0.00021538,             0.00021538
