                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.583,                 6.4822,                 1.9782,                0.36378,                  0.327,                0.19694,                0.06946,                 2.4607,                 2.8257,                 1.4276,             0.00016204,             0.00016204,             0.00016204
                      2,                 2.1022,                  2.571,                 1.2102,                0.20613,                0.56431,                0.33724,                0.13655,                 2.1221,                 2.2857,                 1.3187,             0.00032057,             0.00032057,             0.00032057
                      3,                 1.8907,                 2.1607,                 1.1346,                0.26857,                0.55399,                0.42969,                  0.177,                 1.8073,                 1.8935,                 1.1631,             0.00047085,             0.00047085,             0.00047085
                      4,                 1.8102,                 1.8181,                 1.0964,                0.22401,                0.58901,                0.31032,                0.13941,                 1.8413,                  2.056,                  1.162,             0.00046288,             0.00046288,             0.00046288
                      5,                 1.7616,                 1.7355,                 1.0867,                0.37341,                0.59943,                0.49329,                0.21779,                 1.8685,                 1.7073,                 1.2071,             0.00046288,             0.00046288,             0.00046288
                      6,                 1.6908,                 1.6434,                 1.0782,                0.33428,                0.58293,                0.37643,                  0.158,                  1.803,                 1.8272,                 1.1488,              0.0004505,              0.0004505,              0.0004505
                      7,                  1.655,                 1.5015,                 1.0596,                0.48943,                 0.6969,                0.52709,                0.22032,                 1.7516,                 1.6321,                 1.1242,             0.00043812,             0.00043812,             0.00043812
                      8,                   1.65,                 1.4652,                 1.0444,                0.46035,                 0.7431,                0.55974,                0.25575,                 1.6996,                 1.5546,                 1.1187,             0.00042575,             0.00042575,             0.00042575
                      9,                 1.6336,                 1.3791,                 1.0528,                0.56226,                 0.6535,                0.61678,                0.27019,                 1.7409,                 1.4657,                 1.1308,             0.00041338,             0.00041338,             0.00041338
                     10,                 1.5788,                 1.2873,                 1.0371,                 0.5002,                0.64947,                 0.5768,                0.25226,                 1.7433,                 1.5434,                 1.1374,               0.000401,               0.000401,               0.000401
                     11,                 1.5752,                 1.2357,                 1.0224,                0.58344,                0.73987,                0.69259,                0.32383,                  1.658,                 1.3682,                 1.0963,             0.00038863,             0.00038863,             0.00038863
