                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1308,                 1.1953,                 1.1438,                0.85096,                0.74089,                0.78674,                0.50371,                0.87962,                0.62499,                 1.0165,             0.00047226,             0.00047226,             0.00047226
                      2,                0.99964,                 0.6668,                  1.044,                0.83751,                0.78211,                0.80526,                0.49527,                0.90973,                0.58011,                 1.0167,             0.00091103,             0.00091103,             0.00091103
                      3,                0.98335,                0.65716,                  1.046,                0.83398,                0.79722,                 0.8202,                0.52617,                0.83329,                 0.5923,                 1.0173,              0.0013121,              0.0013121,              0.0013121
                      4,                0.98477,                0.63917,                 1.0475,                0.90248,                0.74935,                0.82422,                 0.5415,                0.87076,                0.53262,                 1.0087,              0.0012592,              0.0012592,              0.0012592
                      5,                0.94693,                0.60487,                 1.0272,                0.90223,                 0.7833,                0.83459,                0.54692,                0.81545,                0.49608,                0.99875,              0.0012592,              0.0012592,              0.0012592
                      6,                0.93072,                0.58513,                 1.0214,                0.89271,                0.79029,                0.83205,                 0.5486,                0.79829,                0.48733,                0.98823,              0.0012026,              0.0012026,              0.0012026
                      7,                0.90326,                0.56715,                 1.0175,                0.87407,                0.80308,                 0.8502,                0.56238,                 0.8055,                0.48264,                0.98778,              0.0011461,              0.0011461,              0.0011461
                      8,                0.89172,                0.55614,                 1.0062,                0.89443,                 0.8149,                0.85809,                0.57233,                0.80576,                0.47898,                0.98214,              0.0010895,              0.0010895,              0.0010895
                      9,                0.86453,                0.53348,                0.99559,                0.90254,                0.80208,                0.86104,                0.56307,                0.75626,                0.44397,                0.97384,              0.0010329,              0.0010329,              0.0010329
                     10,                  0.863,                 0.5182,                0.98984,                0.89551,                0.82664,                0.87527,                0.58437,                0.80581,                0.44867,                0.98699,             0.00097629,             0.00097629,             0.00097629
                     11,                 0.8348,                0.50731,                0.98716,                0.85221,                0.81618,                0.85507,                0.59689,                0.73579,                0.42876,                0.97291,              0.0009197,              0.0009197,              0.0009197
                     12,                0.82473,                0.49524,                0.98039,                 0.9046,                0.79422,                0.85643,                0.56767,                0.77092,                 0.4364,                0.97499,             0.00086312,             0.00086312,             0.00086312
                     13,                0.81646,                 0.4896,                0.97597,                0.89115,                0.81546,                0.85936,                0.58894,                0.72437,                0.41296,                0.96418,             0.00080653,             0.00080653,             0.00080653
                     14,                0.79923,                0.47424,                0.97057,                0.89218,                0.84297,                0.86255,                0.59856,                0.70443,                  0.405,                  0.962,             0.00074994,             0.00074994,             0.00074994
                     15,                 0.7849,                0.46653,                0.96168,                  0.913,                0.82478,                0.87089,                0.60061,                 0.7118,                0.40319,                0.96598,             0.00069335,             0.00069335,             0.00069335
                     16,                0.70181,                0.40841,                0.94401,                0.89954,                0.83046,                0.86468,                0.60223,                0.71115,                0.39779,                0.97134,             0.00063676,             0.00063676,             0.00063676
                     17,                 0.6929,                0.39246,                0.93642,                0.91447,                0.82559,                 0.8639,                0.60038,                0.69796,                0.38632,                0.96111,             0.00058017,             0.00058017,             0.00058017
                     18,                0.67605,                0.38208,                0.92906,                0.89623,                0.80479,                0.85462,                0.59638,                0.72763,                0.40067,                 0.9639,             0.00052359,             0.00052359,             0.00052359
                     19,                0.66292,                0.37475,                0.92394,                0.86869,                0.83281,                0.86897,                0.60502,                0.73033,                0.38557,                0.96158,               0.000467,               0.000467,               0.000467
                     20,                0.64573,                0.36142,                0.91248,                0.90838,                0.83535,                0.87562,                0.61265,                0.69834,                0.37994,                0.95362,             0.00041041,             0.00041041,             0.00041041
                     21,                0.62594,                0.35048,                0.90938,                0.91535,                0.83299,                0.87633,                0.60979,                0.68527,                0.36657,                0.96255,             0.00035382,             0.00035382,             0.00035382
                     22,                0.61619,                0.34077,                0.90319,                0.88199,                0.85534,                0.88159,                0.61384,                0.68786,                0.36358,                 0.9629,             0.00029723,             0.00029723,             0.00029723
                     23,                0.60096,                0.33204,                0.89675,                0.89284,                0.83665,                0.86884,                0.61738,                0.67009,                0.35714,                0.95513,             0.00024064,             0.00024064,             0.00024064
                     24,                0.59056,                0.32534,                0.89447,                0.89666,                0.84378,                0.87724,                0.60752,                0.68166,                0.35843,                0.95877,             0.00018406,             0.00018406,             0.00018406
                     25,                0.57842,                0.31579,                0.88734,                0.89232,                0.83469,                0.87028,                0.62325,                0.68001,                0.35269,                0.95782,             0.00012747,             0.00012747,             0.00012747
