                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8887,                 14.072,                 2.1628,                0.01812,                0.20546,                 0.0229,                0.00849,                 2.6608,                 5.6824,                 1.5164,             0.00016204,             0.00016204,             0.00016204
                      2,                  2.378,                 3.3673,                 1.3272,                0.20247,                0.36392,                0.18841,                0.06833,                 2.0979,                 2.7755,                  1.259,             0.00032057,             0.00032057,             0.00032057
                      3,                 2.0275,                 2.6302,                  1.182,                0.35582,                0.47712,                0.35793,                0.15361,                 1.8978,                  1.947,                  1.191,             0.00047085,             0.00047085,             0.00047085
                      4,                 1.8594,                 2.0298,                 1.1188,                0.28635,                0.62133,                0.42469,                0.17236,                 1.8178,                 1.7862,                 1.1576,             0.00046288,             0.00046288,             0.00046288
                      5,                 1.8119,                 1.8805,                 1.1145,                0.35748,                0.60905,                0.43542,                0.18593,                 1.8096,                 1.6785,                 1.1556,             0.00046288,             0.00046288,             0.00046288
                      6,                 1.7399,                 1.7642,                 1.0999,                0.32291,                0.68669,                 0.4376,                0.19364,                  1.728,                  1.684,                 1.1107,              0.0004505,              0.0004505,              0.0004505
                      7,                 1.6898,                 1.5763,                 1.0759,                0.41465,                0.71148,                0.51092,                0.21805,                 1.7277,                 1.5854,                 1.1209,             0.00043812,             0.00043812,             0.00043812
                      8,                 1.6807,                 1.5085,                 1.0608,                0.47984,                0.70448,                0.61198,                0.27017,                 1.7514,                 1.5052,                 1.1225,             0.00042575,             0.00042575,             0.00042575
                      9,                 1.6437,                 1.4272,                 1.0557,                0.49334,                0.73455,                0.65698,                0.30365,                 1.7851,                 1.4395,                 1.1332,             0.00041338,             0.00041338,             0.00041338
                     10,                 1.5967,                 1.3559,                 1.0481,                0.62875,                0.70268,                0.66383,                0.29305,                 1.7842,                 1.4354,                 1.1375,               0.000401,               0.000401,               0.000401
                     11,                 1.5767,                 1.2945,                 1.0269,                0.72057,                0.60701,                0.71819,                0.31891,                 1.7299,                 1.3426,                 1.1103,             0.00038863,             0.00038863,             0.00038863
                     12,                 1.5925,                 1.2418,                 1.0316,                 0.6351,                0.69981,                0.73022,                0.33378,                  1.759,                 1.3576,                 1.1238,             0.00037625,             0.00037625,             0.00037625
                     13,                 1.5521,                  1.172,                 1.0159,                0.60374,                0.59712,                0.62784,                0.27765,                 1.8686,                 1.4833,                 1.1641,             0.00036387,             0.00036387,             0.00036387
                     14,                 1.5696,                 1.1532,                 1.0302,                0.65627,                0.74102,                0.73404,                0.31243,                  1.768,                 1.3629,                  1.122,              0.0003515,              0.0003515,              0.0003515
                     15,                 1.5201,                 1.0989,                 1.0118,                0.71188,                0.72127,                0.76026,                 0.3262,                 1.8462,                  1.256,                 1.1505,             0.00033913,             0.00033913,             0.00033913
                     16,                 1.4973,                 1.0691,                 1.0152,                0.70825,                0.69453,                0.71556,                0.32785,                 1.8077,                  1.224,                 1.1438,             0.00032675,             0.00032675,             0.00032675
                     17,                 1.5158,                 1.0008,                 1.0118,                 0.7295,                0.72245,                0.75935,                0.33306,                 1.8144,                 1.2839,                 1.1407,             0.00031438,             0.00031438,             0.00031438
